1001-Effector_CD4pos_T-S	1001-Effector_CD4pos_T-U	1002-Effector_CD4pos_T-S	1002-Effector_CD4pos_T-U	1003-Effector_CD4pos_T-S	1003-Effector_CD4pos_T-U	1004-Effector_CD4pos_T-U
22:10511387-10511587	3	1	2	0	2	0	0
22:10512293-10512504	4	1	2	7	0	8	6
22:10517254-10517666	14	14	15	17	0	6	10
22:10520224-10520447	10	9	2	4	0	0	1
22:10527367-10527846	18	4	26	19	15	10	6
22:10528213-10528583	17	4	10	15	6	0	4
22:10533851-10534192	11	12	9	7	2	6	8
22:10534918-10535336	2	16	10	11	0	6	4
22:10535466-10535725	4	5	2	15	4	3	10
22:10538130-10538349	3	0	1	0	0	3	8
22:10540688-10540892	13	2	4	9	0	2	4
22:10546193-10546405	0	0	1	8	4	6	4
22:10547088-10547288	3	0	3	3	0	6	4
22:10548687-10548887	6	2	12	11	3	4	6
22:10551063-10551263	0	2	0	6	6	2	4
22:10556766-10558049	58	22	46	55	18	21	31
22:10562933-10563182	13	10	4	8	1	2	4
22:10566719-10566919	4	4	0	2	2	3	6
22:10568756-10569066	2	15	2	7	2	3	6
22:10569711-10569949	5	0	10	7	0	0	0
22:10573528-10573876	1	8	5	18	2	8	11
22:10574234-10574531	13	6	13	17	12	8	7
22:10575624-10575960	6	2	14	16	2	4	11
22:10580974-10581447	22	9	14	2	4	5	18
22:10584163-10584588	5	3	5	21	3	8	2
22:10587222-10587427	0	4	2	2	0	2	8
22:10589639-10590060	19	18	9	7	0	1	6
22:10591214-10591414	4	2	4	1	2	5	0
22:10597250-10597538	6	4	6	14	2	0	0
22:10601175-10601529	23	4	12	2	4	0	6
22:10608285-10608485	5	0	4	5	4	0	6
22:10610124-10610375	0	1	4	12	0	2	2
22:10616769-10617034	10	7	6	2	0	6	0
22:10620571-10620771	5	0	4	9	2	7	2
22:10620976-10621187	2	0	2	16	0	4	2
22:10622789-10622989	0	8	0	2	0	3	0
22:10629018-10629344	34	11	12	6	2	10	4
22:10632240-10632596	49	28	23	36	16	31	22
22:10633292-10633492	27	10	7	18	3	7	1
22:10633665-10634198	41	29	26	53	19	34	28
22:10634205-10634530	35	21	25	27	6	20	5
22:10634635-10634946	27	17	23	24	17	20	6
22:10635439-10635711	18	12	19	11	2	17	4
22:10637183-10637623	24	22	9	36	20	39	14
22:10645346-10645594	3	4	2	0	5	5	0
22:10650576-10651152	17	23	12	35	15	9	10
22:10655919-10656119	5	2	13	8	6	3	3
22:10657530-10657873	22	2	19	20	2	7	8
22:10658781-10659010	32	8	36	6	10	8	6
